file_name,role_guess,quality_status,thickness_mm_from_name,manufacturing_bbox_source,bbox_width_mm,bbox_height_mm,raw_bbox_width_mm,raw_bbox_height_mm,closed_loop_count,open_endpoint_count,connected_component_count,circle_count,arc_count,line_count,polyline_count,warning_count,source_path
(20180606 西班牙)箱体竖隔板L展开图.dxf,divider,geometry_rule_seed_only,,largest_closed_loop,583.7,1856.6,583.7,1856.6,5,0,5,124,0,84,0,4,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\箱体竖隔板\(20180606 西班牙)箱体竖隔板L展开图.dxf
(20180606 西班牙)箱体竖隔板R(镜向)展开图.dxf,divider,geometry_rule_seed_only,,largest_closed_loop,583.7,1856.6,583.7,1856.6,5,0,5,124,0,84,0,4,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\箱体竖隔板\(20180606 西班牙)箱体竖隔板R(镜向)展开图.dxf
(20180614 西班牙)箱体竖隔板L展开图.dxf,divider,geometry_rule_seed_only,,largest_closed_loop,583.7,1856.6,583.7,1856.6,5,0,5,124,0,84,0,4,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\箱体竖隔板\(20180614 西班牙)箱体竖隔板L展开图.dxf
(20180614 西班牙)箱体竖隔板R(镜向)展开图.dxf,divider,geometry_rule_seed_only,,largest_closed_loop,583.7,1856.6,583.7,1856.6,5,0,5,124,0,84,0,4,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\箱体竖隔板\(20180614 西班牙)箱体竖隔板R(镜向)展开图.dxf
(20181029 西班牙)箱体竖隔板L展开图.dxf,divider,geometry_rule_seed_only,,largest_closed_loop,583.7,1856.6,583.7,1856.6,5,0,5,132,0,84,0,4,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\箱体竖隔板\(20181029 西班牙)箱体竖隔板L展开图.dxf
(20181029 西班牙)箱体竖隔板R展开图.dxf,divider,geometry_rule_seed_only,,largest_closed_loop,583.7,1856.6,583.7,1856.6,5,0,5,132,0,84,0,4,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\箱体竖隔板\(20181029 西班牙)箱体竖隔板R展开图.dxf
PO#1870901箱体竖隔板L展开图.dxf,divider,geometry_rule_seed_only,,largest_closed_loop,583.7,1856.6,583.7,1856.6,5,0,5,132,0,84,0,4,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\箱体竖隔板\PO#1870901箱体竖隔板L展开图.dxf
PO#1870901箱体竖隔板R(镜向)展开图.dxf,divider,geometry_rule_seed_only,,largest_closed_loop,583.7,1856.6,583.7,1856.6,5,0,5,132,0,84,0,4,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\箱体竖隔板\PO#1870901箱体竖隔板R(镜向)展开图.dxf
箱体竖隔板L展开图.dxf,divider,needs_closed_loop_rebuild,,raw_curve_bbox_closed_loop_too_small,16771.4807,19648.7428,16771.4807,19648.7428,222,13456,5690,571,2343,23655,146,4,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\箱体竖隔板\箱体竖隔板L展开图.dxf
箱体竖隔板R(镜向)展开图.dxf,divider,needs_closed_loop_rebuild,,raw_curve_bbox_closed_loop_too_small,16771.4807,19648.7428,16771.4807,19648.7428,222,13439,5683,571,2343,23655,146,4,C:\Users\Administrator\Desktop\参数化模板素材\16029 寄存柜(标准组合式 1917×1000×550)\10.备份\2.钣金展开图20190423\箱体竖隔板\箱体竖隔板R(镜向)展开图.dxf
