item,type,driver,column,row,x_min,x_max,y_min,y_max,source_level,note,module,part_group,x_center,y_center,z_center,diameter,radius,cut_axis,feature_class,assembly_label,component_name,component_path,parent_component,parent_transform_found,fixed,matrix_status,local_x_mm,local_y_mm,local_z_mm,raw_transform_x_center,raw_transform_y_center,raw_transform_z_center,bbox_center_x,bbox_center_y,bbox_center_z,z_min,z_max,x_len,y_len,z_len,geometry_source,step_source,width_variant_adjustment,door_height,template_name,template_source,template_source_length,template_scale_y,hardware_type,y_relation,y_offset,template_unit,template_height,door_width,flat_width,flat_height,sheet_thickness,return_depth,lock_hole_center_x,lock_hole_center_y,lock_mount_hole_policy,hinge_axis_x,bend_id,bend_radius,flat_extra_mm,formed_length_mm,bend_angle_deg,line_axis
SW_cabinet_vertical_L_explicit,fixed_center_vertical_structure,center_control_band,,,-83.0,-21.2,28.8,1858.2,solidworks_step_plus_upper_center_vertical_hole_rule_verified,fixed center-band datum structure; upper center-vertical holes cut from STEP-derived rule; not scaled with door height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RULE_center_vertical_upper_hole_cabinet_vertical_L_01,center_vertical_upper_hole_cut,center_vertical_step_circle_edge_rule,,,,,,,solidworks_step_plus_upper_center_vertical_hole_rule_verified,extracted_from_SW_cabinet_vertical_L_explicit_step_circle_edges; boolean cut applied directly to center vertical structure in main generator,center_control_vertical,cabinet_vertical_L,-62.6,1658.0,-54.5,7.0,3.5,X,upper_lock_or_mount_hole_r3p5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RULE_center_vertical_upper_hole_cabinet_vertical_L_02,center_vertical_upper_hole_cut,center_vertical_step_circle_edge_rule,,,,,,,solidworks_step_plus_upper_center_vertical_hole_rule_verified,extracted_from_SW_cabinet_vertical_L_explicit_step_circle_edges; boolean cut applied directly to center vertical structure in main generator,center_control_vertical,cabinet_vertical_L,-62.6,1724.0,-54.5,7.0,3.5,X,upper_lock_or_mount_hole_r3p5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_cabinet_vertical_R_explicit,fixed_center_vertical_structure,center_control_band,,,21.2,83.0,28.8,1858.2,solidworks_step_plus_upper_center_vertical_hole_rule_verified,fixed center-band datum structure; upper center-vertical holes cut from STEP-derived rule; not scaled with door height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RULE_center_vertical_upper_hole_cabinet_vertical_R_01,center_vertical_upper_hole_cut,center_vertical_step_circle_edge_rule,,,,,,,solidworks_step_plus_upper_center_vertical_hole_rule_verified,extracted_from_SW_cabinet_vertical_R_explicit_step_circle_edges; boolean cut applied directly to center vertical structure in main generator,center_control_vertical,cabinet_vertical_R,62.6,1658.0,-54.5,7.0,3.5,X,upper_lock_or_mount_hole_r3p5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RULE_center_vertical_upper_hole_cabinet_vertical_R_02,center_vertical_upper_hole_cut,center_vertical_step_circle_edge_rule,,,,,,,solidworks_step_plus_upper_center_vertical_hole_rule_verified,extracted_from_SW_cabinet_vertical_R_explicit_step_circle_edges; boolean cut applied directly to center vertical structure in main generator,center_control_vertical,cabinet_vertical_R,62.6,1724.0,-54.5,7.0,3.5,X,upper_lock_or_mount_hole_r3p5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_door_frame_vertical_L_explicit,fixed_center_vertical_structure,center_control_band,,,-38.0,-21.2,26.5,1860.5,solidworks_step_plus_upper_center_vertical_hole_rule_verified,fixed center-band datum structure; upper center-vertical holes cut from STEP-derived rule; not scaled with door height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RULE_center_vertical_upper_hole_door_frame_vertical_L_01,center_vertical_upper_hole_cut,center_vertical_step_circle_edge_rule,,,,,,,solidworks_step_plus_upper_center_vertical_hole_rule_verified,extracted_from_SW_door_frame_vertical_L_explicit_step_circle_edges; boolean cut applied directly to center vertical structure in main generator,center_control_vertical,door_frame_vertical_L,-25.0,1629.75,-17.9,3.5,1.75,Z,upper_front_strip_mount_hole_r1p75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RULE_center_vertical_upper_hole_door_frame_vertical_L_02,center_vertical_upper_hole_cut,center_vertical_step_circle_edge_rule,,,,,,,solidworks_step_plus_upper_center_vertical_hole_rule_verified,extracted_from_SW_door_frame_vertical_L_explicit_step_circle_edges; boolean cut applied directly to center vertical structure in main generator,center_control_vertical,door_frame_vertical_L,-25.0,1782.25,-17.9,3.5,1.75,Z,upper_front_strip_mount_hole_r1p75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW_door_frame_vertical_R_explicit,fixed_center_vertical_structure,center_control_band,,,21.2,38.0,26.5,1860.5,solidworks_step_plus_upper_center_vertical_hole_rule_verified,fixed center-band datum structure; upper center-vertical holes cut from STEP-derived rule; not scaled with door height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
