item,type,driver,column,row,x_min,x_max,y_min,y_max,source_level,note,module,part_group,x_center,y_center,z_center,diameter,radius,cut_axis,feature_class,assembly_label,component_name,component_path,parent_component,parent_transform_found,fixed,matrix_status,local_x_mm,local_y_mm,local_z_mm,raw_transform_x_center,raw_transform_y_center,raw_transform_z_center,bbox_center_x,bbox_center_y,bbox_center_z,z_min,z_max,x_len,y_len,z_len,geometry_source,step_source,width_variant_adjustment,door_height,template_name,template_source,template_source_length,template_scale_y,hardware_type,y_relation,y_offset,template_unit,template_height,door_width,flat_width,flat_height,sheet_thickness,return_depth,lock_hole_center_x,lock_hole_center_y,lock_mount_hole_policy,hinge_axis_x,bend_id,bend_radius,flat_extra_mm,formed_length_mm,bend_angle_deg,line_axis
SW_door_hardware_hinge_retainer_plate_08_L06,door_hardware_step_repositioned,door_local_coordinate,L,6,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,-467.0,1368.343,-7.724,,,,,,,,,,,,,,,,,,,,,,,10.0,0.8,8.553,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,hinge_retainer_plate,bottom_from_half,29.2,2/12,298.0,,,,,,,,,,,,,,,
SW_door_hardware_electric_lock_hook_09_L06,door_hardware_step_repositioned,door_local_coordinate,L,6,,,,,ordinary_door_series_hardware_relation_gold_verified,real hardware geometry from selected gold door assembly; y position follows door-local relation,,,-55.0,1466.357,-25.944,,,,,,,,,,,,,,,,,,,,,,,20.55,34.04,29.288,,,,254.429,,C:\sw16029_standard_ascii\door_2_12_assembly_exact.step,,,electric_lock_hook,center_offset,0.0,2/12,298.0,,,,,,,,,,,,,,,
SW_exact_sheetmetal_door_panel_gold_seam_signature_W437_H254429_step_valid_p4_golds131164_L06,door_module,door_local_coordinate,L,6,,,1339.143,1593.571,freecad_gold_seam_production_signature_candidate,"door drives panel, weldment, rib, lock, hinge and local hardware references",,,-258.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,gold_seam_signature_W437_H254429_step_valid_p4_golds131164,C:\sw16029_standard_ascii\door_panel_W437_H254429_gold_seam_strict_step_valid_p4_golds131164.step,,1.0,,,,,254.429,437.0,475.4,290.829,0.8,15.0,-55.0,1466.357,suppressed_for_non_2_12_panel_dxf_and_step_signature,-467.0,,,,,,
META_left_vertical_bend_L06,door_bend_semantic_feature,door_local_coordinate,L,6,-477.6,-476.4,1339.143,1593.571,ordinary_door_bend_semantic_gold_verified,left side return bend; flat extra each side = 19.2; semantic feature verified from ordinary 1/12..6/12 DXF flat size and generated formed bbox,,,-477.0,1466.357,0.8,,,,,,,,,,,,,,,,,,,,,,,1.2,254.429,1.2,,,,254.429,,,,,,,,,,,475.4,290.829,0.8,15.0,,,,,left_vertical_bend,1.0,19.2,254.429,90,Y
META_right_vertical_bend_L06,door_bend_semantic_feature,door_local_coordinate,L,6,-40.6,-39.4,1339.143,1593.571,ordinary_door_bend_semantic_gold_verified,right side return bend; flat extra each side = 19.2; semantic feature verified from ordinary 1/12..6/12 DXF flat size and generated formed bbox,,,-40.0,1466.357,0.8,,,,,,,,,,,,,,,,,,,,,,,1.2,254.429,1.2,,,,254.429,,,,,,,,,,,475.4,290.829,0.8,15.0,,,,,right_vertical_bend,1.0,19.2,254.429,90,Y
META_bottom_horizontal_bend_L06,door_bend_semantic_feature,door_local_coordinate,L,6,-477.0,-40.0,1338.543,1339.743,ordinary_door_bend_semantic_gold_verified,bottom return bend; flat extra each end = 18.2; semantic feature verified from ordinary 1/12..6/12 DXF flat size and generated formed bbox,,,-258.5,1339.143,0.8,,,,,,,,,,,,,,,,,,,,,,,437.0,1.2,1.2,,,,254.429,,,,,,,,,,,475.4,290.829,0.8,15.0,,,,,bottom_horizontal_bend,1.0,18.2,437.0,90,X
META_top_horizontal_bend_L06,door_bend_semantic_feature,door_local_coordinate,L,6,-477.0,-40.0,1592.971,1594.171,ordinary_door_bend_semantic_gold_verified,top return bend; flat extra each end = 18.2; semantic feature verified from ordinary 1/12..6/12 DXF flat size and generated formed bbox,,,-258.5,1593.571,0.8,,,,,,,,,,,,,,,,,,,,,,,437.0,1.2,1.2,,,,254.429,,,,,,,,,,,475.4,290.829,0.8,15.0,,,,,top_horizontal_bend,1.0,18.2,437.0,90,X
REF_lock_hole_center_L06,lock_hole_reference,door_local_coordinate,L,6,-57.0,-53.0,1464.357,1468.357,gold_standard_sw_transform_step_verified,ordinary 1/12..6/12 lock center basis; SW v002 and exact STEP verify lock-side hardware local_y=0 = door center,,,-55.0,1466.357,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_side_arc_relief_L06,side_arc_relief_cut,door_local_coordinate,L,6,-42.0,-38.0,1464.357,1468.357,gold_dxf_flat_pattern_semantic,R2 side relief arc from ordinary door panel DXF; visible geometry cut in folded panel,,,-40.0,1466.357,0.2,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
REF_electric_lock_hook_L06,lock_hook_reference,door_local_coordinate,L,6,-59.0,-51.0,1460.357,1472.357,gold_standard_sw_transform_step_verified,door-local dx=203.5 dy=0 dz=-11.3; verified from SolidWorks v002 transform and exact STEP centered candidate,,,-55.0,1466.357,-11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.429,,,,,,,,,,,,,,,,,,,,,,,,
